z_mm,z_over_L,W_g,T_C,T_K,X_MeOH,y_CH3OH,y_DME,y_H2O,F_CH3OH_mol_h,F_DME_mol_h,F_H2O_mol_h
16.5000,0.110000,2.58767,220.8315,493.9815,0.110352,0.88964820,0.05517590,0.05517590,1.95945661e+01,1.21525319e+00,1.21525319e+00
16.7500,0.111667,2.62687,221.3717,494.5217,0.113282,0.88671841,0.05664079,0.05664079,1.95300374e+01,1.24751758e+00,1.24751758e+00
17.0000,0.113333,2.66608,221.9254,495.0754,0.116288,0.88371178,0.05814411,0.05814411,1.94638161e+01,1.28062822e+00,1.28062822e+00
17.2500,0.115000,2.70529,222.4933,495.6433,0.119376,0.88062447,0.05968776,0.05968776,1.93958179e+01,1.31462733e+00,1.31462733e+00
17.5000,0.116667,2.74450,223.0761,496.2261,0.122548,0.87745236,0.06127382,0.06127382,1.93259520e+01,1.34956028e+00,1.34956028e+00
17.7500,0.118333,2.78370,223.6745,496.8245,0.125809,0.87419103,0.06290449,0.06290449,1.92541208e+01,1.38547587e+00,1.38547587e+00
18.0000,0.120000,2.82291,224.2893,497.4393,0.129164,0.87083569,0.06458216,0.06458216,1.91802191e+01,1.42242669e+00,1.42242669e+00
18.2500,0.121667,2.86212,224.9214,498.0714,0.132619,0.86738119,0.06630941,0.06630941,1.91041335e+01,1.46046951e+00,1.46046951e+00
18.5000,0.123333,2.90132,225.5718,498.7218,0.136178,0.86382195,0.06808902,0.06808902,1.90257411e+01,1.49966569e+00,1.49966569e+00
18.7500,0.125000,2.94053,226.2415,499.3915,0.139848,0.86015195,0.06992403,0.06992403,1.89449090e+01,1.54008176e+00,1.54008176e+00
19.0000,0.126667,2.97974,226.9316,500.0816,0.143635,0.85636461,0.07181769,0.07181769,1.88614927e+01,1.58178992e+00,1.58178992e+00
19.2500,0.128333,3.01894,227.6434,500.7934,0.147547,0.85245282,0.07377359,0.07377359,1.87753351e+01,1.62486870e+00,1.62486870e+00
19.5000,0.130000,3.05815,228.3780,501.5280,0.151591,0.84840878,0.07579561,0.07579561,1.86862650e+01,1.66940376e+00,1.66940376e+00
19.7500,0.131667,3.09736,229.1370,502.2870,0.155776,0.84422401,0.07788799,0.07788799,1.85940951e+01,1.71548871e+00,1.71548871e+00
20.0000,0.133333,3.13657,229.9219,503.0719,0.160111,0.83988919,0.08005541,0.08005541,1.84986203e+01,1.76322610e+00,1.76322610e+00
20.2500,0.135000,3.17577,230.7345,503.8845,0.164606,0.83539409,0.08230296,0.08230296,1.83996153e+01,1.81272859e+00,1.81272859e+00
20.5000,0.136667,3.21498,231.5766,504.7266,0.169273,0.83072744,0.08463628,0.08463628,1.82968320e+01,1.86412024e+00,1.86412024e+00
20.7500,0.138333,3.25419,232.4503,505.6003,0.174123,0.82587679,0.08706160,0.08706160,1.81899963e+01,1.91753811e+00,1.91753811e+00
21.0000,0.140000,3.29339,233.3579,506.5079,0.179172,0.82082837,0.08958582,0.08958582,1.80788043e+01,1.97313409e+00,1.97313409e+00
21.2500,0.141667,3.33260,234.3020,507.4520,0.184433,0.81556683,0.09221659,0.09221659,1.79629185e+01,2.03107702e+00,2.03107702e+00
21.5000,0.143333,3.37181,235.2854,508.4354,0.189925,0.81007507,0.09496247,0.09496247,1.78419621e+01,2.09155523e+00,2.09155523e+00
21.7500,0.145000,3.41102,236.3113,509.4613,0.195666,0.80433394,0.09783303,0.09783303,1.77155133e+01,2.15477961e+00,2.15477961e+00
22.0000,0.146667,3.45022,237.3833,510.5333,0.201678,0.79832191,0.10083904,0.10083904,1.75830981e+01,2.22098723e+00,2.22098723e+00
22.2500,0.148333,3.48943,238.5053,511.6553,0.207985,0.79201469,0.10399265,0.10399265,1.74441811e+01,2.29044572e+00,2.29044572e+00
22.5000,0.150000,3.52864,239.6820,512.8320,0.214615,0.78538472,0.10730764,0.10730764,1.72981555e+01,2.36345853e+00,2.36345853e+00
22.7500,0.151667,3.56784,240.9184,514.0684,0.221599,0.77840059,0.11079970,0.11079970,1.71443295e+01,2.44037150e+00,2.44037150e+00
23.0000,0.153333,3.60705,242.2204,515.3704,0.228974,0.77102634,0.11448683,0.11448683,1.69819110e+01,2.52158075e+00,2.52158075e+00
23.2500,0.155000,3.64626,243.5949,516.7449,0.236779,0.76322052,0.11838974,0.11838974,1.68099873e+01,2.60754263e+00,2.60754263e+00
23.5000,0.156667,3.68547,245.0496,518.1996,0.245065,0.75493511,0.12253245,0.12253245,1.66275005e+01,2.69878603e+00,2.69878603e+00
23.7500,0.158333,3.72467,246.5935,519.7435,0.253886,0.74611407,0.12694297,0.12694297,1.64332165e+01,2.79592803e+00,2.79592803e+00
24.0000,0.160000,3.76388,248.2375,521.3875,0.263308,0.73669156,0.13165422,0.13165422,1.62256850e+01,2.89969376e+00,2.89969376e+00
24.2500,0.161667,3.80309,249.9939,523.1439,0.273410,0.72658959,0.13670520,0.13670520,1.60031885e+01,3.01094203e+00,3.01094203e+00
24.5000,0.163333,3.84229,251.8777,525.0277,0.284285,0.71571501,0.14214249,0.14214249,1.57636751e+01,3.13069872e+00,3.13069872e+00
24.7500,0.165000,3.88150,253.9069,527.0569,0.296044,0.70395551,0.14802225,0.14802225,1.55046711e+01,3.26020071e+00,3.26020071e+00
25.0000,0.166667,3.92071,256.1031,529.2531,0.308826,0.69117425,0.15441287,0.15441287,1.52231631e+01,3.40095473e+00,3.40095473e+00
25.2500,0.168333,3.95991,258.4930,531.6430,0.322797,0.67720270,0.16139865,0.16139865,1.49154386e+01,3.55481695e+00,3.55481695e+00
25.5000,0.170000,3.99912,261.1095,534.2595,0.338169,0.66183064,0.16908468,0.16908468,1.45768679e+01,3.72410230e+00,3.72410230e+00
25.7500,0.171667,4.03833,263.9941,537.1441,0.355208,0.64479235,0.17760383,0.17760383,1.42015982e+01,3.91173715e+00,3.91173715e+00
26.0000,0.173333,4.07754,267.1995,540.3495,0.374253,0.62574697,0.18712651,0.18712651,1.37821225e+01,4.12147501e+00,4.12147501e+00
26.2500,0.175000,4.11674,270.7939,543.9439,0.395750,0.60425048,0.19787476,0.19787476,1.33086607e+01,4.35820589e+00,4.35820589e+00
26.5000,0.176667,4.15595,274.8667,548.0167,0.420285,0.57971512,0.21014244,0.21014244,1.27682675e+01,4.62840253e+00,4.62840253e+00
26.7500,0.178333,4.19516,279.5365,552.6865,0.448649,0.55135123,0.22432438,0.22432438,1.21435508e+01,4.94076085e+00,4.94076085e+00
27.0000,0.180000,4.23436,284.9621,558.1121,0.481913,0.51808706,0.24095647,0.24095647,1.14109051e+01,5.30708372e+00,5.30708372e+00
27.2500,0.181667,4.27357,291.3542,564.5042,0.521527,0.47847299,0.26076350,0.26076350,1.05384023e+01,5.74333510e+00,5.74333510e+00
27.5000,0.183333,4.31278,298.9775,572.1275,0.569368,0.43063203,0.28468398,0.28468398,9.48470172e+00,6.27018540e+00,6.27018540e+00
27.7500,0.185000,4.35199,308.0988,581.2488,0.627455,0.37254506,0.31372747,0.31372747,8.20533190e+00,6.90987031e+00,6.90987031e+00
28.0000,0.186667,4.39119,318.7197,591.8697,0.696239,0.30376147,0.34811927,0.34811927,6.69036832e+00,7.66735210e+00,7.66735210e+00
28.2500,0.188333,4.43040,329.7184,602.8684,0.768754,0.23124625,0.38437687,0.38437687,5.09321548e+00,8.46592852e+00,8.46592852e+00
28.5000,0.190000,4.46961,337.9241,611.0741,0.823695,0.17630488,0.41184756,0.41184756,3.88312777e+00,9.07097238e+00,9.07097238e+00
28.7500,0.191667,4.50881,341.3629,614.5129,0.846931,0.15306921,0.42346540,0.42346540,3.37136042e+00,9.32685605e+00,9.32685605e+00
29.0000,0.193333,4.54802,342.2166,615.3666,0.852719,0.14728140,0.42635930,0.42635930,3.24388344e+00,9.39059454e+00,9.39059454e+00
29.2500,0.195000,4.58723,342.3858,615.5358,0.853867,0.14613334,0.42693333,0.42693333,3.21859750e+00,9.40323751e+00,9.40323751e+00
29.5000,0.196667,4.62644,342.4176,615.5676,0.854082,0.14591808,0.42704096,0.42704096,3.21385631e+00,9.40560810e+00,9.40560810e+00
29.7500,0.198333,4.66564,342.4234,615.5734,0.854122,0.14587816,0.42706092,0.42706092,3.21297716e+00,9.40604768e+00,9.40604768e+00
30.0000,0.200000,4.70485,342.4245,615.5745,0.854129,0.14587078,0.42706461,0.42706461,3.21281447e+00,9.40612903e+00,9.40612903e+00
30.2500,0.201667,4.74406,342.4247,615.5747,0.854131,0.14586941,0.42706529,0.42706529,3.21278436e+00,9.40614408e+00,9.40614408e+00
30.5000,0.203333,4.78326,342.4248,615.5748,0.854131,0.14586916,0.42706542,0.42706542,3.21277880e+00,9.40614686e+00,9.40614686e+00
30.7500,0.205000,4.82247,342.4248,615.5748,0.854131,0.14586911,0.42706544,0.42706544,3.21277777e+00,9.40614738e+00,9.40614738e+00
31.0000,0.206667,4.86168,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277757e+00,9.40614748e+00,9.40614748e+00
31.2500,0.208333,4.90088,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277753e+00,9.40614750e+00,9.40614750e+00
31.5000,0.210000,4.94009,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
31.7500,0.211667,4.97930,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
32.0000,0.213333,5.01851,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
32.2500,0.215000,5.05771,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
32.5000,0.216667,5.09692,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
32.7500,0.218333,5.13613,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
33.0000,0.220000,5.17533,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
33.2500,0.221667,5.21454,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
